input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity	ARO	confers_resistance_to	resistance_to_drug_classes
CONTROL_REP2.mapping.ARG.deeparg	ESCHERICHIA_COLI_LAMB	BAB38442|FEATURES|Escherichia_coli_LamB|multidrug|Escherichia_coli_LamB	deeparg_db	2	BAB38442	deeparg	1.0.4	gene_presence_detected					multidrug		1	446				BA000007.3_4938															100.0	ARO:3007011	ARO:0000036,ARO:0000045,ARO:0000049,ARO:0000051,ARO:0000056,ARO:3000637,ARO:3000661	ARO:0000001,ARO:0000001,ARO:0000016,ARO:3000007,ARO:3000007,ARO:3000050,ARO:3005386
CONTROL_REP2.mapping.ARG.deeparg	ROSB	gi:896190680:ref:WP_049199932.1:|FEATURES|rosB|fosmidomycin|rosB	deeparg_db	2	gi:896190680:ref:WP_049199932.1:	deeparg	1.0.4	gene_presence_detected					fosmidomycin		1	554				BA000007.3_515															80.3	ARO:3003049		
CONTROL_REP2.mapping.ARG.deeparg	ROSA	YP_001477378|FEATURES|rosA|fosmidomycin|rosA	deeparg_db	2	YP_001477378	deeparg	1.0.4	gene_presence_detected					fosmidomycin		20	405				BA000007.3_516															79.3	ARO:3003048		
CONTROL_REP2.mapping.ARG.deeparg	BAER	YP_490321.1|FEATURES|baeR|multidrug|baeR	deeparg_db	2	YP_490321.1	deeparg	1.0.4	gene_presence_detected					multidrug		1	240				BA000007.3_2800															99.6	ARO:3000828		
CONTROL_REP2.mapping.ARG.deeparg	ESCHERICHIA_COLI_MIPA	NP_310518|FEATURES|Escherichia_coli_mipA|multidrug|Escherichia_coli_mipA	deeparg_db	2	NP_310518	deeparg	1.0.4	gene_presence_detected					multidrug		1	248				BA000007.3_2417															100.0	ARO:3002972	ARO:3000081	ARO:3000081
CONTROL_REP2.mapping.ARG.deeparg	PMRF	AAC75314.1|FEATURES|PmrF|peptide|PmrF	deeparg_db	2	AAC75314.1	deeparg	1.0.4	gene_presence_detected					peptide		1	322				BA000007.3_3056															99.4	ARO:3003578	ARO:3000454	ARO:3000053
CONTROL_REP2.mapping.ARG.deeparg	MDFA	NP_752857|FEATURES|mdfA|multidrug|mdfA	deeparg_db	2	NP_752857	deeparg	1.0.4	gene_presence_detected					multidrug		11	420				BA000007.3_900															100.0	ARO:3001328	ARO:0000051,ARO:3003823	ARO:3000050,ARO:3005386
CONTROL_REP2.mapping.ARG.deeparg	CLASS_C	gi:446399514:ref:WP_000477369.1:|FEATURES|class_C|beta-lactam|class_C	deeparg_db	2	gi:446399514:ref:WP_000477369.1:	deeparg	1.0.4	gene_presence_detected					beta-lactam		1	377				BA000007.3_5057															100.0	ARO:3006876	ARO:0000032	ARO:3000007
CONTROL_REP2.mapping.ARG.deeparg	OMPF	gi:447175075:ref:WP_001252331.1:|FEATURES|ompF|multidrug|ompF	deeparg_db	2	gi:447175075:ref:WP_001252331.1:	deeparg	1.0.4	gene_presence_detected					multidrug		1	617				BA000007.3_2785															99.7	ARO:3003155	ARO:0000020,ARO:0000032,ARO:3000008	ARO:3000007,ARO:3000007,ARO:3000007
CONTROL_REP2.mapping.ARG.deeparg	TET34	YP_001444376|FEATURES|tet34|tetracycline|tet34	deeparg_db	2	YP_001444376	deeparg	1.0.4	gene_presence_detected					tetracycline		1	152				BA000007.3_258															67.1	ARO:3001305	ARO:0000046	ARO:0000017
CONTROL_REP2.mapping.ARG.deeparg	MACB	YP_002269553|FEATURES|macB|MLS|macB	deeparg_db	2	YP_002269553	deeparg	1.0.4	gene_presence_detected					MLS		1	648				BA000007.3_943															100.0	ARO:3000535		
CONTROL_REP2.mapping.ARG.deeparg	MACA	NC_002695.1.917702.p01|FEATURES|macA|MLS|macA	deeparg_db	2	NC_002695.1.917702.p01	deeparg	1.0.4	gene_presence_detected					MLS		1	371				BA000007.3_942															100.0	ARO:3000533		
CONTROL_REP2.mapping.ARG.deeparg	ACRA	NC_002695.1.912781.p01|FEATURES|acrA|multidrug|acrA	deeparg_db	2	NC_002695.1.912781.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	373				BA000007.3_1789															100.0	ARO:3000377		
CONTROL_REP2.mapping.ARG.deeparg	PBP-1B	YP_002467958|FEATURES|PBP-1B|beta-lactam|PBP-1B	deeparg_db	2	YP_002467958	deeparg	1.0.4	gene_presence_detected					beta-lactam		11	736				BA000007.3_148															54.1	ARO:3007060	ARO:0000032,ARO:0000044,ARO:0000064,ARO:3000008	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007
CONTROL_REP2.mapping.ARG.deeparg	TRANSCRIPTIONAL_REGULATORY_PROTEIN_CPXR_CPXR	CP000034.1.gene3834.p01|FEATURES|transcriptional_regulatory_protein_CpxR_cpxR|unclassified|transcriptional_regulatory_protein_CpxR_cpxR	deeparg_db	2	CP000034.1.gene3834.p01	deeparg	1.0.4	gene_presence_detected					unclassified		1	232				BA000007.3_4755															100.0	ARO:3004054		
CONTROL_REP2.mapping.ARG.deeparg	CPXA	NP_312864.1|FEATURES|cpxA|aminoglycoside:aminocoumarin|cpxA	deeparg_db	2	NP_312864.1	deeparg	1.0.4	gene_presence_detected					aminoglycoside:aminocoumarin		1	457				BA000007.3_4754															100.0	ARO:3000830		
CONTROL_REP2.mapping.ARG.deeparg	MDTE	NC_002695.1.915750.p01|FEATURES|mdtE|multidrug|mdtE	deeparg_db	2	NC_002695.1.915750.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	385				BA000007.3_4309															100.0	ARO:3000795		
CONTROL_REP2.mapping.ARG.deeparg	EPTA	BAE78116.1|FEATURES|eptA|peptide|eptA	deeparg_db	2	BAE78116.1	deeparg	1.0.4	gene_presence_detected					peptide		1	547				BA000007.3_5019															99.8	ARO:3003576	ARO:3000454	ARO:3000053
CONTROL_REP2.mapping.ARG.deeparg	MDTL	NC_002695.1.915390.p01|FEATURES|mdtL|multidrug|mdtL	deeparg_db	2	NC_002695.1.915390.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	391				BA000007.3_4561															100.0	ARO:3003801	ARO:0000055	ARO:3007150
CONTROL_REP2.mapping.ARG.deeparg	KDPE	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	deeparg_db	2	NP_415222.1	deeparg	1.0.4	gene_presence_detected					aminoglycoside		1	225				BA000007.3_705															98.7	ARO:3003841		
CONTROL_REP2.mapping.ARG.deeparg	MDTM	gi:447059726:ref:WP_001136982.1:|FEATURES|mdtM|multidrug|mdtM	deeparg_db	2	gi:447059726:ref:WP_001136982.1:	deeparg	1.0.4	gene_presence_detected					multidrug		1	410				BA000007.3_5218															100.0	ARO:3001214	ARO:0000045,ARO:0000046,ARO:0000047,ARO:3000385,ARO:3000662	ARO:0000001,ARO:0000017,ARO:3000034,ARO:3000387,ARO:3005386
CONTROL_REP2.mapping.ARG.deeparg	OMPR	CP000034.1.gene3672.p01|FEATURES|ompR|multidrug|ompR	deeparg_db	2	CP000034.1.gene3672.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	450				BA000007.3_4162															99.8	ARO:3000830		
CONTROL_REP2.mapping.ARG.deeparg	MEXX	NC_002695.1.916015.p01|FEATURES|mexX|multidrug|mexX	deeparg_db	2	NC_002695.1.916015.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	385				BA000007.3_4047															100.0	ARO:3000499		
CONTROL_REP2.mapping.ARG.deeparg	EMRD	NC_002695.1.915420.p01|FEATURES|emrD|multidrug|emrD	deeparg_db	2	NC_002695.1.915420.p01	deeparg	1.0.4	gene_presence_detected					multidrug		3	396				BA000007.3_4529															100.0	ARO:3003801	ARO:0000055	ARO:3007150
CONTROL_REP2.mapping.ARG.deeparg	SDIA	NC_002695.1.912965.p01|FEATURES|sdiA|unclassified|sdiA	deeparg_db	2	NC_002695.1.912965.p01	deeparg	1.0.4	gene_presence_detected					unclassified		1	240				BA000007.3_2580															100.0	ARO:3000826		
CONTROL_REP2.mapping.ARG.deeparg	PATA	NP_417544.5|FEATURES|patA|fluoroquinolone|patA	deeparg_db	2	NP_417544.5	deeparg	1.0.4	gene_presence_detected					fluoroquinolone		1	459				BA000007.3_3863															99.6	ARO:3000024		
CONTROL_REP2.mapping.ARG.deeparg	GADW	ANK04027.1|FEATURES|gadW|multidrug|gadW	deeparg_db	2	ANK04027.1	deeparg	1.0.4	gene_presence_detected					multidrug		1	242				BA000007.3_4312															94.6	ARO:3003838		
CONTROL_REP2.mapping.ARG.deeparg	MDTH	NC_002695.1.912474.p01|FEATURES|mdtH|multidrug|mdtH	deeparg_db	2	NC_002695.1.912474.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	402				BA000007.3_1386															100.0	ARO:3001216	ARO:0000023,ARO:3000662	ARO:0000001,ARO:0000001
CONTROL_REP2.mapping.ARG.deeparg	MDTN	NP_290715|FEATURES|mdtN|multidrug|mdtN	deeparg_db	2	NP_290715	deeparg	1.0.4	gene_presence_detected					multidrug		1	343				BA000007.3_4985															100.0	ARO:3003548		
CONTROL_REP2.mapping.ARG.deeparg	CAMP-REGULATORY_PROTEIN	gi:446164900:ref:WP_000242755.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	deeparg_db	2	gi:446164900:ref:WP_000242755.1:	deeparg	1.0.4	gene_presence_detected					unclassified		1	210				BA000007.3_4123															100.0	ARO:3000518		
CONTROL_REP2.mapping.ARG.deeparg	EMRK	NC_002695.1.915653.p01|FEATURES|emrK|multidrug|emrK	deeparg_db	2	NC_002695.1.915653.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	387				BA000007.3_3162															100.0	ARO:3000206		
CONTROL_REP2.mapping.ARG.deeparg	OMPF	gi:446900658:ref:WP_000977914.1:|FEATURES|ompF|multidrug|ompF	deeparg_db	2	gi:446900658:ref:WP_000977914.1:	deeparg	1.0.4	gene_presence_detected					multidrug		1	362				BA000007.3_990															100.0	ARO:3004122	ARO:0000004,ARO:0000008,ARO:0000020,ARO:0000032,ARO:0000044,ARO:3000008,ARO:3000645,ARO:3003706	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007
CONTROL_REP2.mapping.ARG.deeparg	ACRA	YP_002269113|FEATURES|acrA|multidrug|acrA	deeparg_db	2	YP_002269113	deeparg	1.0.4	gene_presence_detected					multidrug		13	409				BA000007.3_500															100.0	ARO:3004043		
CONTROL_REP2.mapping.ARG.deeparg	DNA-BINDING_PROTEIN_H-NS	NC_002695.1.913113.p01|FEATURES|DNA-binding_protein_H-NS|unclassified|DNA-binding_protein_H-NS	deeparg_db	2	NC_002695.1.913113.p01	deeparg	1.0.4	gene_presence_detected					unclassified		1	137				BA000007.3_1670															100.0	ARO:3000676		
CONTROL_REP2.mapping.ARG.deeparg	BACA	A8A4L2|FEATURES|bacA|bacitracin|bacA	deeparg_db	2	A8A4L2	deeparg	1.0.4	gene_presence_detected					bacitracin		1	273				BA000007.3_3848															100.0	ARO:3002986	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000053,ARO:3000053,ARO:3000053
CONTROL_REP2.mapping.ARG.deeparg	MDTD	NC_002695.1.916587.p01|FEATURES|mdtD|multidrug|mdtD	deeparg_db	2	NC_002695.1.916587.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	471				BA000007.3_2798															100.0	ARO:3000074		
CONTROL_REP2.mapping.ARG.deeparg	EMRB	gi:745784185:ref:WP_039077609.1:|FEATURES|emrB|multidrug|emrB	deeparg_db	2	gi:745784185:ref:WP_039077609.1:	deeparg	1.0.4	gene_presence_detected					multidrug		1	512				BA000007.3_3161															99.2	ARO:3000074		
CONTROL_REP2.mapping.ARG.deeparg	BACTERIAL_REGULATORY_PROTEIN_LUXR	CP000034.1.gene4477.p01|FEATURES|bacterial_regulatory_protein_LuxR|unclassified|bacterial_regulatory_protein_LuxR	deeparg_db	2	CP000034.1.gene4477.p01	deeparg	1.0.4	gene_presence_detected					unclassified		1	204				BA000007.3_3163															100.0	ARO:3000832		
CONTROL_REP2.mapping.ARG.deeparg	MARA	YP_489794.1|FEATURES|marA|multidrug|marA	deeparg_db	2	YP_489794.1	deeparg	1.0.4	gene_presence_detected					multidrug		1	127				BA000007.3_2064															100.0	ARO:3000263		
CONTROL_REP2.mapping.ARG.deeparg	BAES	BAA15934.1|FEATURES|baeS|multidrug|baeS	deeparg_db	2	BAA15934.1	deeparg	1.0.4	gene_presence_detected					multidrug		1	467				BA000007.3_2799															99.4	ARO:3000829		
CONTROL_REP2.mapping.ARG.deeparg	KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	ACI71754|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	deeparg_db	2	ACI71754	deeparg	1.0.4	gene_presence_detected					aminoglycoside		1	273				BA000007.3_54															100.0	ARO:3000600	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
CONTROL_REP2.mapping.ARG.deeparg	QACH	AAZ42322.1|FEATURES|qacH|fluoroquinolone|qacH	deeparg_db	2	AAZ42322.1	deeparg	1.0.4	gene_presence_detected					fluoroquinolone		1	110				BA000007.3_1546															100.0	ARO:3005098	ARO:3005386	ARO:3005386
CONTROL_REP2.mapping.ARG.deeparg	DNA-BINDING_PROTEIN_H-NS	CP001918.1.gene1661.p01|FEATURES|DNA-binding_protein_H-NS|unclassified|DNA-binding_protein_H-NS	deeparg_db	2	CP001918.1.gene1661.p01	deeparg	1.0.4	gene_presence_detected					unclassified		1	135				BA000007.3_3447															54.8	ARO:3000676		
CONTROL_REP2.mapping.ARG.deeparg	MDTO	NP_290714|FEATURES|mdtO|multidrug|mdtO	deeparg_db	2	NP_290714	deeparg	1.0.4	gene_presence_detected					multidrug		1	683				BA000007.3_4984															100.0	ARO:3003549		
CONTROL_REP2.mapping.ARG.deeparg	EMRR	NP_417169.1|FEATURES|emrR|fluoroquinolone|emrR	deeparg_db	2	NP_417169.1	deeparg	1.0.4	gene_presence_detected					fluoroquinolone		1	176				BA000007.3_3463															100.0	ARO:3000516		
CONTROL_REP2.mapping.ARG.deeparg	DNA-BINDING_TRANSCRIPTIONAL_REGULATOR_GADX	NC_002695.1.915747.p01|FEATURES|DNA-binding_transcriptional_regulator_gadX|unclassified|DNA-binding_transcriptional_regulator_gadX	deeparg_db	2	NC_002695.1.915747.p01	deeparg	1.0.4	gene_presence_detected					unclassified		1	274				BA000007.3_4313															100.0	ARO:3000508		
CONTROL_REP2.mapping.ARG.deeparg	MDTP	Q8X5R9|FEATURES|mdtP|multidrug|mdtP	deeparg_db	2	Q8X5R9	deeparg	1.0.4	gene_presence_detected					multidrug		1	488				BA000007.3_4983															100.0	ARO:3003550		
CONTROL_REP2.mapping.ARG.deeparg	MDTF	YP_002272991|FEATURES|mdtF|multidrug|mdtF	deeparg_db	2	YP_002272991	deeparg	1.0.4	gene_presence_detected					multidrug		1	1037				BA000007.3_4310															100.0	ARO:3000796		
CONTROL_REP2.mapping.ARG.deeparg	PBP-1A	YP_001290033|FEATURES|PBP-1A|beta-lactam|PBP-1A	deeparg_db	2	YP_001290033	deeparg	1.0.4	gene_presence_detected					beta-lactam		11	834				BA000007.3_4154															53.4	ARO:3007060	ARO:0000032,ARO:0000044,ARO:0000064,ARO:3000008	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007
CONTROL_REP2.mapping.ARG.deeparg	ACRB	NC_002695.1.912777.p01|FEATURES|acrB|multidrug|acrB	deeparg_db	2	NC_002695.1.912777.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	1027				BA000007.3_1790															100.0	ARO:3000216	ARO:0000045	ARO:3005386
CONTROL_REP2.mapping.ARG.deeparg	EMRB	NC_002695.1.914736.p01|FEATURES|emrB|multidrug|emrB	deeparg_db	2	NC_002695.1.914736.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	512				BA000007.3_3465															100.0	ARO:3000074		
